basDt,srtnCd,isinCd,crno,mrktCtg,itmsNm,corpNm
20260827,A004450,KR7004450003,1341110003462,KOSPI,삼화왕관,삼화왕관(주)
20260827,A004490,KR7004490009,1101110202765,KOSPI,세방전지,세방전지(주)
20260827,A0044K0,KR70044K0008,1101110923177,KOSDAQ,삼성스팩10호,삼성기업인수목적10호(주)
20260827,A004540,KR7004540001,1101110063779,KOSPI,깨끗한나라,깨끗한나라(주)
20260827,A004560,KR7004560009,1101110065395,KOSPI,현대비앤지스틸,현대비앤지스틸(주)
20260827,A004590,KR7004590006,1244110005688,KOSDAQ,한국가구,(주)한국가구
20260827,A004650,KR7004650008,2013110000107,KOSDAQ,창해에탄올,(주)창해에탄올
20260827,A004690,KR7004690004,1101110005929,KOSPI,삼천리,삼천리(주)
20260827,A004700,KR7004700001,1501110001036,KOSPI,조광피혁,조광피혁(주)
20260827,A004710,KR7004710000,1101110004682,KOSPI,한솔테크닉스,한솔테크닉스(주)
20260827,A004720,KR7004720009,1243110000812,KOSPI,팜젠사이언스,(주)팜젠사이언스
20260827,A004770,KR7004770004,1101110070881,KOSPI,써니전자,써니전자(주)
20260827,A004780,KR7004780003,1101110073877,KOSDAQ,대륙제관,(주)대륙제관
20260827,A004800,KR7004800009,1101110030497,KOSPI,효성,(주)효성
20260827,A004830,KR7004830006,1341110000096,KOSPI,덕성,(주)덕성
20260827,A004840,KR7004840005,1801110000339,KOSPI,DRB동일,(주)디알비동일
20260827,A004870,KR7004870002,1101110073413,KOSPI,티웨이홀딩스,(주)티웨이홀딩스
20260827,A004890,KR7004890000,1701110002171,KOSPI,동일산업,동일산업(주)
20260827,A004910,KR7004910006,1801110007088,KOSPI,조광페인트,조광페인트(주)
20260827,A004920,KR7004920005,1101110074479,KOSPI,씨아이테크,(주)씨아이테크
20260827,A004960,KR7004960001,1101110075683,KOSPI,한신공영,한신공영(주)
20260827,A004970,KR7004970000,1101110008254,KOSPI,신라교역,신라교역(주)
20260827,A004980,KR7004980009,1101110072928,KOSPI,성신양회,성신양회(주)
20260827,A004990,KR7004990008,1101110076300,KOSPI,롯데지주,롯데지주(주)
20260827,A005010,KR7005010004,1101110077283,KOSPI,휴스틸,(주)휴스틸
20260827,A005030,KR7005030002,1801110002682,KOSPI,부산주공,부산주공(주)
20260827,A005070,KR7005070008,1201110018251,KOSPI,코스모신소재,코스모신소재(주)
20260827,A005090,KR7005090006,1101110079817,KOSPI,SGC에너지,SGC에너지(주)
20260827,A005110,KR7005110002,1801110000602,KOSPI,한창,(주)한창
20260827,A005160,KR7005160007,1101110085583,KOSDAQ,동국산업,동국산업(주)
20260827,A005180,KR7005180005,1152110000287,KOSPI,빙그레,(주)빙그레
20260827,A005250,KR7005250006,1345110000014,KOSPI,녹십자홀딩스,(주)녹십자홀딩스
20260827,A005290,KR7005290002,1201110003848,KOSDAQ,동진쎄미켐,(주)동진쎄미켐
20260827,A005300,KR7005300009,1101110003684,KOSPI,롯데칠성,롯데칠성음료(주)
20260827,A005320,KR7005320007,1101110084767,KOSPI,온타이드,(주)온타이드
20260827,A005360,KR7005360003,1101110005052,KOSPI,모나미,(주)모나미
20260827,A005380,KR7005380001,1101110085450,KOSPI,현대차,현대자동차(주)
20260827,A005420,KR7005420005,1101110152738,KOSPI,코스모화학,코스모화학(주)
20260827,A005430,KR7005430004,1101110003692,KOSPI,한국공항,한국공항(주)
20260827,A005440,KR7005440003,1101110095201,KOSPI,현대지에프홀딩스,(주)현대지에프홀딩스
20260827,A005490,KR7005490008,1746110000741,KOSPI,POSCO홀딩스,포스코홀딩스(주)
20260827,A0054V0,KR70054V0002,1101110925793,KOSDAQ,엔에이치스팩32호,엔에이치기업인수목적32호 주식회사
20260827,A005500,KR7005500004,1101110088652,KOSPI,삼진제약,삼진제약(주)
20260827,A005610,KR7005610001,1101110090516,KOSPI,삼립,(주)삼립
20260827,A005670,KR7005670005,1701110001628,KOSDAQ,푸드웰,(주)푸드웰
20260827,A005680,KR7005680004,1311110000205,KOSPI,삼영전자,삼영전자공업(주)
20260827,A005690,KR7005690003,1601110005177,KOSPI,파미셀,파미셀(주)
20260827,A005710,KR7005710009,1301110007533,KOSDAQ,대원산업,대원산업(주)
20260827,A005720,KR7005720008,1846110000583,KOSPI,넥센,(주)넥센
20260827,A005740,KR7005740006,1101110093552,KOSPI,크라운해태홀딩스,(주)크라운해태홀딩스
20260827,A005750,KR7005750005,1942110000018,KOSPI,대림바스,대림바스 주식회사
20260827,A005800,KR7005800008,1101110094964,KOSPI,신영와코루,(주)신영와코루
